time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
139264,68,1075,129,-15.789420729875564,0.0003,35018.6796875,0.00016444921493530273,0.139501953125,-0.028017480751441327,0.014287251,1.1785870790481567,670,61997.082836914065,0.2
141312,69,1112,127,-15.849368590116502,0.0003,25855.236328125,2.980232238769531e-07,0.1591796875,-0.03298678573773941,0.015283428,1.1847057342529297,680,56352.66812744141,0.2
143360,70,1150,124,-15.876409575343132,0.0003,21768.74609375,1.1920928955078125e-07,0.176220703125,-0.035053029413393236,0.015313627,1.1874672174453735,690,52528.305444335936,0.2
145408,71,1188,122,-15.9138624638319,0.0003,22602.609375,-3.5762786865234375e-07,0.1923828125,-0.03578156212315662,0.01790135,1.1915453672409058,700,43323.787609863284,0.2
147456,72,1227,120,-15.93488126695156,0.0003,35944.4296875,-3.5762786865234375e-07,0.1578125,-0.03164686794334557,0.014935682,1.1929093599319458,710,62818.145727539064,0.2
149504,73,1267,117,-15.949158346652984,0.0003,28414.580078125,1.1920928955078125e-07,0.1697265625,-0.032373779140471015,0.016068289,1.1950732469558716,720,60451.79755859375,0.2
151552,74,1305,116,-15.995600366592408,0.0003,21321.3671875,-1.1920928955078125e-07,0.171875,-0.03169958933722228,0.016568437,1.203155279159546,730,45863.12904052735,0.2
153600,75,1346,114,-16.019099617004393,0.0003,30936.701171875,1.7881393432617188e-07,0.165771484375,-0.03296186649095034,0.015893776,1.2022547721862793,740,54504.472204589845,0.2
155648,76,1387,112,-16.05084748864174,0.0003,32837.43359375,-1.0013580322265625e-05,0.15419921875,-0.027848951645137277,0.014396839,1.209274411201477,750,61277.61379394531,0.2
157696,77,1429,110,-16.10481898188591,0.0003,22342.9140625,-0.006328105926513672,0.16455078125,-0.033313974147313276,0.017703636,1.2161086797714233,760,53238.69227294922,0.2
159744,78,1473,108,-16.105664759874344,0.0003,21586.509765625,-1.1920928955078125e-07,0.16923828125,-0.030291913011751603,0.015678309,1.211181879043579,770,48769.72149658203,0.2
161792,79,1517,106,-16.09965388774872,0.0003,27532.783203125,-2.0265579223632812e-05,0.19443359375,-0.03316917025804287,0.017529037,1.213624358177185,780,61527.26375732422,0.2
163840,80,1562,104,-16.102034920454024,0.0003,27127.341796875,0.0,0.16669921875,-0.03339944868494058,0.01535131,1.2116773128509521,790,59780.65223388672,0.2
165888,81,1607,103,-16.083936339616777,0.0003,27571.5,-3.337860107421875e-06,0.14326171875,-0.03180577830353286,0.0147100305,1.2099930047988892,800,60098.97664794922,0.2
167936,82,1653,101,-16.103506243228914,0.0003,26426.169921875,6.556510925292969e-07,0.192236328125,-0.03354463788564317,0.016730405,1.2147436141967773,810,50805.143615722656,0.2
169984,83,1700,99,-16.182062363624574,0.0003,28851.21484375,-1.049041748046875e-05,0.191455078125,-0.032485318482213185,0.01678177,1.2280303239822388,820,55009.826647949216,0.2
172032,84,1747,98,-16.252767342329026,0.0003,21125.595703125,-3.0279159545898438e-05,0.18017578125,-0.03526836404853384,0.016950497,1.2329940795898438,830,48390.21124267578,0.2
174080,85,1795,96,-16.299487018585204,0.0003,23580.8125,-1.1920928955078125e-06,0.178857421875,-0.03229800898989197,0.01691309,1.2396481037139893,840,40490.84248046875,0.2
176128,86,1844,95,-16.331387436389925,0.0003,21094.404296875,-0.005124807357788086,0.178759765625,-0.03565979342965875,0.01796735,1.2423499822616577,850,45992.329162597656,0.2
178176,87,1898,93,-16.360472518205643,0.0003,23981.39453125,-1.3828277587890625e-05,0.21044921875,-0.035278730417485346,0.01992723,1.2457966804504395,860,44422.395001220706,0.2
180224,88,1952,92,-16.401513785123825,0.0003,23996.958984375,8.159875869750977e-05,0.17080078125,-0.03241536671266658,0.015682735,1.2522008419036865,870,49193.2310913086,0.2
