time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
156,13,170,104448,-0.057983731658896434,0.05305175483226776,0.03663634,1.107346534729004,0.31953125,0.0003,0.2,0.47376891211606564,-15.19158428311348,0.6620362401008606,500
153,14,186,106496,-0.0619875556556508,-0.1083759069442749,0.03736765,1.1105073690414429,0.325927734375,0.0003,0.2,0.5676340809091925,-15.222099700570107,0.057130396366119385,510
151,15,202,108544,-0.058024923887569455,-0.11639820039272308,0.045538124,1.1092907190322876,0.371630859375,0.0003,0.2,0.3686016594991088,-15.220936518907546,0.6483322978019714,520
150,16,217,110592,-0.0543519690312678,0.41528499126434326,0.030505575,1.1112316846847534,0.29140625,0.0003,0.2,0.8108840317931026,-15.228034165501594,0.4403740167617798,530
149,17,233,112640,-0.057182491628918794,-0.1527712643146515,0.036009155,1.113621711730957,0.29482421875,0.0003,0.2,0.5119433452142402,-15.255650302767753,0.33409714698791504,540
147,18,250,114688,-0.06354044949403033,-0.007135316729545593,0.04704001,1.112982988357544,0.3525390625,0.0003,0.2,0.5392813961254432,-15.25954366028309,-0.12217473983764648,550
145,19,267,116736,-0.06430372548929882,-0.11920145153999329,0.033459786,1.1122350692749023,0.294384765625,0.0003,0.2,0.44218900771811603,-15.250200641155242,0.6096859872341156,560
115,1,17,118784,-0.06047353908070363,-0.014529749751091003,0.034835346,1.1120604276657104,0.294873046875,0.0003,0.2,0.542662012251094,-15.248111698031426,0.4836963415145874,570
114,2,35,120832,-0.06196935161133297,-0.02242507040500641,0.03860464,1.1168800592422485,0.327734375,0.0003,0.2,0.5611334647517652,-15.272218292951584,0.7127722203731537,580
112,3,54,122880,-0.06368687833310105,-0.16267728805541992,0.036435932,1.1200793981552124,0.304248046875,0.0003,0.2,0.4889597999164835,-15.306740865111351,0.5656594634056091,590
111,4,73,124928,-0.05909992398228496,-0.0503632128238678,0.037630707,1.1180601119995117,0.321728515625,0.0003,0.2,0.45617065210826696,-15.300706917047501,0.6003845036029816,600
110,5,92,126976,-0.05772022801247658,-0.09308023750782013,0.03399819,1.1236629486083984,0.301513671875,0.0003,0.2,0.6907978015486151,-15.32652979195118,0.5169292390346527,610
