time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/std,train/policy_gradient_loss,train/entropy_loss
888,108544,122,53,60146.6109741211,1.1920928955078125e-07,0.014558912,0.0003,520,0.16015625,23572.533203125,0.2,1.102789044380188,-0.032282412220956756,-15.156906515359879
923,110592,119,54,67964.35604248047,0.0,0.011998845,0.0003,530,0.11318359375,35382.06640625,0.2,1.109550952911377,-0.029734713633661158,-15.20013785660267
957,112640,117,55,64488.09190673828,1.1920928955078125e-07,0.012902984,0.0003,540,0.141357421875,37928.4765625,0.2,1.1094549894332886,-0.03113203215179965,-15.225904166698456
977,114688,117,56,92187.81928710938,3.5762786865234375e-07,0.012541541,0.0003,550,0.126513671875,38947.0859375,0.2,1.1088751554489136,-0.02679837826581206,-15.221991756558419
995,116736,117,57,58217.67478027344,0.0,0.013861912,0.0003,560,0.14140625,28741.9140625,0.2,1.1106388568878174,-0.031340160328545606,-15.231034609675408
1013,118784,117,58,52744.25963134765,0.0,0.01430992,0.0003,570,0.147607421875,30484.966796875,0.2,1.1153167486190796,-0.03126777016441338,-15.259600120782853
1031,120832,117,59,57259.629333496094,0.0,0.013421232,0.0003,580,0.145166015625,25929.2109375,0.2,1.1138578653335571,-0.032870150409871714,-15.267694756388664
1049,122880,117,60,50843.02700195312,1.7881393432617188e-07,0.018786086,0.0003,590,0.187109375,21681.638671875,0.2,1.114111304283142,-0.03797138350346359,-15.263958874344826
1067,124928,116,61,68922.8452758789,0.0,0.0140337385,0.0003,600,0.149365234375,36377.94140625,0.2,1.109570860862732,-0.032140668970532714,-15.239275866746903
1086,126976,116,62,74863.56236572265,5.960464477539063e-08,0.01360101,0.0003,610,0.141064453125,32400.552734375,0.2,1.1150164604187012,-0.03187321974837687,-15.255665758252144
1106,129024,116,63,60948.42973632812,5.960464477539063e-08,0.013285587,0.0003,620,0.13515625,33417.140625,0.2,1.1208174228668213,-0.030681542959064244,-15.302889335155488
1125,131072,116,64,51668.464135742186,2.980232238769531e-07,0.015868023,0.0003,630,0.1650390625,24111.900390625,0.2,1.1230955123901367,-0.035761255223769696,-15.335128316283226
1145,133120,116,65,66288.85190429687,2.384185791015625e-07,0.0153813455,0.0003,640,0.15537109375,33570.25390625,0.2,1.1213858127593994,-0.03042635621968657,-15.332965046167374
