time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
190464,106,1786,93,54235.93171386719,0.1896484375,-15.810767066478729,920,-0.0001480579376220703,0.2,1.1799094676971436,22577.359375,0.021058895,0.0003,-0.033114600661792795
192512,104,1834,94,52767.39152832031,0.17666015625,-15.828133589029312,930,0.0,0.2,1.1805672645568848,21085.201171875,0.015235516,0.0003,-0.03370321110414807
194560,103,1881,95,44970.85640258789,0.2171875,-15.808981442451477,940,-3.218650817871094e-05,0.2,1.1775676012039185,15576.90625,0.020064939,0.0003,-0.03590966725314502
196608,101,1928,96,56627.00637207031,0.192578125,-15.802911740541457,950,-0.0004373788833618164,0.2,1.178038239479065,27819.228515625,0.0175795,0.0003,-0.03336029429920018
198656,100,1977,97,37768.10238647461,0.1908203125,-15.814224964380264,960,1.430511474609375e-06,0.2,1.1791837215423584,18597.412109375,0.018801596,0.0003,-0.03472458835458383
200704,99,2026,98,49136.74537353516,0.173828125,-15.832417988777161,970,3.5762786865234375e-07,0.2,1.1823838949203491,23404.701171875,0.016615633,0.0003,-0.032495304632175245
202752,97,2075,99,52483.34505615234,0.17470703125,-15.827462041378022,980,1.3113021850585938e-06,0.2,1.1794540882110596,25476.693359375,0.015519661,0.0003,-0.033031333949475085
204800,96,2125,100,47478.22960205078,0.164208984375,-15.836430802941322,990,-1.1920928955078125e-07,0.2,1.1822986602783203,23856.623046875,0.015529743,0.0003,-0.030682246675132772
206848,95,2175,101,53294.02866210938,0.179345703125,-15.879662773013115,1000,1.1920928955078125e-07,0.2,1.1889541149139404,25827.560546875,0.017245116,0.0003,-0.032369760218716695
208896,93,2226,102,53493.85631103515,0.211181640625,-15.905496436357499,1010,-2.1457672119140625e-06,0.2,1.1905810832977295,23036.884765625,0.01957808,0.0003,-0.0357723897730466
210944,92,2277,103,48341.390380859375,0.199072265625,-15.940730014443398,1020,5.364418029785156e-07,0.2,1.195300579071045,22963.658203125,0.018813116,0.0003,-0.032573984510963785
212992,91,2329,104,39283.37561645508,0.209033203125,-15.99173500239849,1030,6.556510925292969e-07,0.2,1.2010643482208252,13984.0263671875,0.019424241,0.0003,-0.035343311820179225
215040,90,2382,105,57874.94240722656,0.220556640625,-16.03415502309799,1040,0.00021648406982421875,0.2,1.2083868980407715,40992.9296875,0.019280894,0.0003,-0.03696723924804246
217088,89,2436,106,42273.195013427736,0.208544921875,-16.054785829782485,1050,-0.0011148452758789062,0.2,1.2065544128417969,19352.728515625,0.01764753,0.0003,-0.03518459279584931
219136,88,2490,107,44574.09500732422,0.211669921875,-16.09300140142441,1060,1.8537044525146484e-05,0.2,1.2164130210876465,19627.787109375,0.018951753,0.0003,-0.037098242220235986
221184,86,2544,108,50548.829321289064,0.19638671875,-16.153820687532424,1070,1.1920928955078125e-07,0.2,1.2220052480697632,26738.208984375,0.01714538,0.0003,-0.03684641883883159
223232,85,2599,109,50452.95477294922,0.175634765625,-16.186241668462753,1080,5.960464477539063e-08,0.2,1.2250664234161377,25537.8125,0.016900703,0.0003,-0.03263058257143712
225280,84,2655,110,51892.10819091797,0.17080078125,-16.214668011665346,1090,-3.5762786865234375e-07,0.2,1.228192925453186,24921.1328125,0.01700122,0.0003,-0.032544904394308106
227328,83,2710,111,43553.515606689456,0.208935546875,-16.2721639752388,1100,1.1920928955078125e-07,0.2,1.2382574081420898,20680.26953125,0.019862782,0.0003,-0.037303902364510574
229376,82,2768,112,44079.968994140625,0.183740234375,-16.30587950348854,1110,-4.76837158203125e-07,0.2,1.2400765419006348,29864.248046875,0.0165519,0.0003,-0.035789856367046013
231424,81,2826,113,47888.30537109375,0.211279296875,-16.32035036087036,1120,5.960464477539063e-08,0.2,1.2425472736358643,27652.884765625,0.01775854,0.0003,-0.035103609719953965
233472,80,2884,114,38460.45001831055,0.20390625,-16.34079761505127,1130,-2.384185791015625e-07,0.2,1.2436631917953491,16541.337890625,0.018919505,0.0003,-0.033230713472585195
235520,80,2943,115,41077.42271118164,0.203662109375,-16.362412178516387,1140,0.0,0.2,1.2480170726776123,23984.4453125,0.017903883,0.0003,-0.03611180929292459
237568,79,3003,116,45306.887036132815,0.18994140625,-16.36107591986656,1150,0.0,0.2,1.2452389001846313,21233.5703125,0.017960263,0.0003,-0.03483498430578038
239616,78,3063,117,49702.49595947265,0.19169921875,-16.36019774079323,1160,-1.1920928955078125e-07,0.2,1.2468116283416748,23209.4921875,0.017144177,0.0003,-0.03181896584574133
241664,77,3130,118,40888.91938476563,0.201123046875,-16.388913679122926,1170,0.0,0.2,1.25163996219635,18687.044921875,0.018458277,0.0003,-0.03547419277601875
243712,76,3200,119,49770.052746582034,0.19423828125,-16.422960579395294,1180,5.960464477539063e-08,0.2,1.2552721500396729,21172.2734375,0.01761045,0.0003,-0.03366748734406429
245760,75,3269,120,42348.22751464844,0.19404296875,-16.45668789744377,1190,0.0,0.2,1.2582381963729858,15980.658203125,0.018675528,0.0003,-0.0334086058603134
247808,74,3339,121,49259.48501586914,0.190478515625,-16.463896465301513,1200,-3.933906555175781e-06,0.2,1.2579834461212158,24494.40234375,0.018100837,0.0003,-0.03367038814903935
